CMDLINE D:\git_uploads\twitter_project\my_venv\Scripts\python.exe main.py
MEM 1.636719 1715250916.2174
MEM 3.191406 1715250916.3318
MEM 3.191406 1715250916.4324
MEM 3.191406 1715250916.5331
MEM 3.191406 1715250916.6337
MEM 3.191406 1715250916.7342
MEM 3.191406 1715250916.8350
MEM 3.191406 1715250916.9354
MEM 3.191406 1715250917.0360
MEM 3.191406 1715250917.1363
MEM 3.191406 1715250917.2367
MEM 3.191406 1715250917.3374
MEM 3.191406 1715250917.4381
MEM 3.191406 1715250917.5387
MEM 3.191406 1715250917.6390
MEM 3.191406 1715250917.7397
MEM 3.191406 1715250917.8403
MEM 3.191406 1715250917.9408
MEM 3.191406 1715250918.0414
MEM 3.191406 1715250918.1421
MEM 3.191406 1715250918.2427
MEM 3.191406 1715250918.3432
MEM 3.191406 1715250918.4437
MEM 3.191406 1715250918.5444
MEM 3.191406 1715250918.6449
MEM 3.191406 1715250918.7456
MEM 3.191406 1715250918.8462
MEM 3.191406 1715250918.9469
MEM 3.191406 1715250919.0476
MEM 3.191406 1715250919.1488
MEM 3.191406 1715250919.2497
MEM 3.191406 1715250919.3507
MEM 3.191406 1715250919.4512
MEM 3.191406 1715250919.5522
MEM 3.191406 1715250919.6531
MEM 3.191406 1715250919.7538
MEM 3.191406 1715250919.8542
MEM 3.191406 1715250919.9549
MEM 3.191406 1715250920.0554
MEM 3.191406 1715250920.1560
MEM 3.191406 1715250920.2566
MEM 3.191406 1715250920.3570
MEM 3.191406 1715250920.4577
MEM 3.191406 1715250920.5582
MEM 3.191406 1715250920.6589
MEM 3.191406 1715250920.7594
MEM 3.191406 1715250920.8597
MEM 3.191406 1715250920.9604
MEM 3.191406 1715250921.0607
MEM 3.191406 1715250921.1614
MEM 3.191406 1715250921.2619
MEM 3.191406 1715250921.3626
MEM 3.191406 1715250921.4634
MEM 3.191406 1715250921.5639
MEM 3.191406 1715250921.6644
MEM 3.191406 1715250921.7651
MEM 3.191406 1715250921.8656
