,tweet_ids,tweets text,created_at,like_count,retweet_count,impression_count,userid,toenglish,sentiment,percent
0,1785819768655888563,"RT @Thala_RL: தமிழ் திரையுலகத்தின் 

என்றும் முடிசூடா மன்னன் 

அஜித்குமார்  மட்டுமே 😎🔥

#AjithKumar #HBDAjithKumar #Vidamuyarchi https://t.…",2024-05-01 23:53:06+00:00,0,8,0,1367487996698779659,"RT @Thala_RL: of Tamil cinema

Uncrowned King

Only Ajith Kumar 😎🔥

#AjithKumar #HBDAjithKumar #Vidamuyarchi https://t.…",Positive,87.7
1,1785819625650803074,"Falando de saúde sempre: Desvendando os Benefícios Revigorantes do Chá de F... 
#LifewithMoshe #limao #vidamuyarchi #saúde

https://t.co/H3Iv3MWD94",2024-05-01 23:52:32+00:00,0,0,4,1785480449256529920,"Always talking about health: Uncovering the Invigorating Benefits of Leaf Tea...
#LifewithMoshe #limao #vidamuyarchi #health

https://t.co/H3Iv3MWD94",Neutral,63.690000000000005
2,1785788360835133444,RT @GKcinemas: முயற்சி செய்தா சமயத்துல முதுகு தாங்கும் இமயத்தையே🔥🔥🔥 A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,2024-05-01 21:48:18+00:00,0,333,0,1538770729319006210,RT @GKcinemas: A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,Positive,98.54
3,1785780779483558323,"RT @AJITHfan4u: AK Dharisanam at Kasi  💥💥💥

@kasi_theatre

#HBDAjithKumar #VidaMuyarchi https://t.co/4YPpVg01bF",2024-05-01 21:18:10+00:00,0,82,0,217479333,"RT @AJITHfan4u: I'm not sure what to do with my life

@but_theatre

#HBDAjithKumar #ExperienceLife https://t.co/4YPpVg01bF",Neutral,74.53
4,1785779618114683027,"RT @CineRukhKhan_: Happiest Birthday to REAL THALA OF INDIAN INDUSTRY ✨️ 

Thank You for your unforgettable films and Cannot wait for #vida…",2024-05-01 21:13:33+00:00,0,9,0,1605399828699160577,"RT @CineRukhKhan_: Happiest Birthday to REAL THALA OF INDIAN INDUSTRY ✨️ 

Thank You for your unforgettable films and Cannot wait for #vida…",Positive,98.64
5,1785769577420316686,RT @GKcinemas: முயற்சி செய்தா சமயத்துல முதுகு தாங்கும் இமயத்தையே🔥🔥🔥 A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,2024-05-01 20:33:39+00:00,0,333,0,217479333,RT @GKcinemas: A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,Positive,98.54
6,1785767839947010291,RT @GKcinemas: முயற்சி செய்தா சமயத்துல முதுகு தாங்கும் இமயத்தையே🔥🔥🔥 A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,2024-05-01 20:26:45+00:00,0,333,0,1068173773713498112,RT @GKcinemas: A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,Positive,98.54
7,1785765402611478811,RT @GKcinemas: முயற்சி செய்தா சமயத்துல முதுகு தாங்கும் இமயத்தையே🔥🔥🔥 A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,2024-05-01 20:17:04+00:00,0,333,0,1719193593162944512,RT @GKcinemas: A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,Positive,98.54
8,1785763335478333642,RT @GKcinemas: முயற்சி செய்தா சமயத்துல முதுகு தாங்கும் இமயத்தையே🔥🔥🔥 A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,2024-05-01 20:08:51+00:00,0,333,0,1385973003897368579,RT @GKcinemas: A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,Positive,98.54
9,1785758187280638417,"RT @KasthuriShankar: No pretence, no pretension.
No politics, no tension.
No make up, never ever give up !!! 
#vidamuyarchi 

100% reality,…",2024-05-01 19:48:24+00:00,0,266,0,3359924293,"RT @KasthuriShankar: No pretence, no pretension.
No politics, no tension.
No make up, never ever give up !!! 
#vidamuyarchi 

100% reality,…",Negative,73.14
10,1785755426128302245,RT @GKcinemas: முயற்சி செய்தா சமயத்துல முதுகு தாங்கும் இமயத்தையே🔥🔥🔥 A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,2024-05-01 19:37:25+00:00,0,333,0,610652869,RT @GKcinemas: A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,Positive,98.54
11,1785753051900620952,RT @GKcinemas: முயற்சி செய்தா சமயத்துல முதுகு தாங்கும் இமயத்தையே🔥🔥🔥 A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,2024-05-01 19:27:59+00:00,0,333,0,1234312432849309697,RT @GKcinemas: A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,Positive,98.54
12,1785748175246274825,RT @GKcinemas: முயற்சி செய்தா சமயத்துல முதுகு தாங்கும் இமயத்தையே🔥🔥🔥 A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,2024-05-01 19:08:37+00:00,0,333,0,1194684761983209473,RT @GKcinemas: A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,Positive,98.54
13,1785746332327854326,"RT @wasirajinifan: But Inga Thalapathy eh serupadi vangunavar dana bro 😂😂😂

#Thalaivar #ThalaAjith #Vettaiyan #Coolie #vidamuyarchi #GoodBa…",2024-05-01 19:01:17+00:00,0,5,0,1596820023133147136,"RT @wasirajinifan: But Inga Thalapathy eh adanadi vangunavar dana bro 😂😂😂

#Thalaivar #ThalaAjith #Vettaiyan #Coolie #vidamuyarchi #GoodBa…",Negative,41.49
14,1785745672626688247,RT @GKcinemas: முயற்சி செய்தா சமயத்துல முதுகு தாங்கும் இமயத்தையே🔥🔥🔥 A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,2024-05-01 18:58:40+00:00,0,333,0,1065852849748238337,RT @GKcinemas: A line that inspires everyday 🤩 Happy birthday #AK 🧨 Cannot wait for #V…,Positive,98.54
15,1785745287820292502,"RT @AJITHfan4u: AK Dharisanam at Kasi  💥💥💥

@kasi_theatre

#HBDAjithKumar #VidaMuyarchi https://t.co/4YPpVg01bF",2024-05-01 18:57:08+00:00,0,82,0,3098968836,"RT @AJITHfan4u: I'm not sure what to do with my life

@but_theatre

#HBDAjithKumar #ExperienceLife https://t.co/4YPpVg01bF",Neutral,74.53
16,1785741983236989117,"RT @AJITHfan4u: AK Dharisanam at Kasi  💥💥💥

@kasi_theatre

#HBDAjithKumar #VidaMuyarchi https://t.co/4YPpVg01bF",2024-05-01 18:44:00+00:00,0,82,0,1162291476849733633,"RT @AJITHfan4u: I'm not sure what to do with my life

@but_theatre

#HBDAjithKumar #ExperienceLife https://t.co/4YPpVg01bF",Neutral,74.53
17,1785740697519468783,"RT @AJITHfan4u: AK Dharisanam at Kasi  💥💥💥

@kasi_theatre

#HBDAjithKumar #VidaMuyarchi https://t.co/4YPpVg01bF",2024-05-01 18:38:54+00:00,0,82,0,1460469068834787336,"RT @AJITHfan4u: I'm not sure what to do with my life

@but_theatre

#HBDAjithKumar #ExperienceLife https://t.co/4YPpVg01bF",Neutral,74.53
