,tweet_ids,tweets text,created_at,like_count,retweet_count,impression_count,tweet_url,username,followers,image,location,toenglish,sentiment,percent
0,1780627279950877083,"#LokSabhaElection2024 | If #ECI is really concerned about free &amp; fair elections, it can allow wall posters, displaying candidate names &amp; their respective symbols at all PDS shops &amp; govt offices in every constituency, said #MDMK treasurer.
Read here:
https://t.co/lm0q0WMFJG",2024-04-17 16:00:00+00:00,0,0,88,https://twitter.com/twitter/status/1780627279950877083,xpresstn,22309,https://pbs.twimg.com/profile_images/1191714929201401856/ukvU7M3Q_normal.jpg,"Chennai, India","#LokSabhaElection2024 | If #ECI is really concerned about free &amp; fair elections, it can allow wall posters, displaying candidate names &amp; their respective symbols at all PDS shops &amp; govt offices in every constituency, said #MDMK treasurer.
Read here:
https://t.co/lm0q0WMFJG",Neutral,80.55
1,1780597207219241108,"RT @ezhil_jkm: Can elections be fair if voters are unaware of new symbols? How can half-informed voters decide? 

@ECISVEEP  should display…",2024-04-17 14:00:30+00:00,0,2,0,https://twitter.com/twitter/status/1780597207219241108,Iniyanandan25,833,https://pbs.twimg.com/profile_images/902766524422922240/EWhLW8TF_normal.jpg,Tiruchi,"RT @ezhil_jkm: Can elections be fair if voters are unaware of new symbols? How can half-informed voters decide? 

@ECISVEEP  should display…",Negative,91.91
2,1780561667191136586,"RT @ezhil_jkm: Can elections be fair if voters are unaware of new symbols? How can half-informed voters decide? 

@ECISVEEP  should display…",2024-04-17 11:39:17+00:00,0,2,0,https://twitter.com/twitter/status/1780561667191136586,krithika_writes,5161,https://pbs.twimg.com/profile_images/1776930850543894528/kQ3ujD0N_normal.jpg,Tamil Nadu,"RT @ezhil_jkm: Can elections be fair if voters are unaware of new symbols? How can half-informed voters decide? 

@ECISVEEP  should display…",Negative,91.91
3,1780559113023578358,"Can elections be fair if voters are unaware of new symbols? How can half-informed voters decide? 

@ECISVEEP  should display candidate names, symbols at city points, ration shops, govt. offices, demand politicians

My story for @xpresstn 

https://t.co/r1yRXIPWRw",2024-04-17 11:29:08+00:00,4,2,139,https://twitter.com/twitter/status/1780559113023578358,ezhil_jkm,1298,https://pbs.twimg.com/profile_images/1590178372449341440/ybqBEaYW_normal.jpg,Trichy,"Can elections be fair if voters are unaware of new symbols? How can half-informed voters decide? 

@ECISVEEP  should display candidate names, symbols at city points, ration shops, govt. offices, demand politicians

My story for @xpresstn 

https://t.co/r1yRXIPWRw",Negative,89.25
4,1780504550106939440,"This will be the watershed moment and song of the TN elections in 2024.
#DMKFailsTN #Annamalai4CM #annamalaiBJP #NDAAlliance #NDA #TamilNadu #TamilNaduPolitics https://t.co/EfrX78fCI0",2024-04-17 07:52:19+00:00,0,0,22,https://twitter.com/twitter/status/1780504550106939440,adot99160725,231,https://pbs.twimg.com/profile_images/1567767570526388233/hIOiY0PF_normal.jpg,"Bengaluru, India","This will be the watershed moment and song of the TN elections in 2024.
#DMKFailsTN #Annamalai4CM #annamalaiBJP #NDAAlliance #NDA #TamilNadu #TamilNaduPolitics https://t.co/EfrX78fCI0",Positive,71.00999999999999
5,1780500384571609104,"நாடு காக்க - நாளைய தலைமுறை காக்க இந்தியா கூட்டணிக்கு வாக்களிப்பீர் என வீடியோ வெளியிட்டு முதல்வர் ஸ்டாலின் கேட்டுக் கொண்டுள்ளார்
#MKStalin #LokSabhaElection2024 #INDIAAlliance #DMK #MKStalinCampaign 
https://t.co/37gjNZkXsf",2024-04-17 07:35:46+00:00,0,0,86,https://twitter.com/twitter/status/1780500384571609104,AsianetNewsTM,47258,https://pbs.twimg.com/profile_images/902511487956074496/CiUKlnmL_normal.jpg,"Chennai, India","Chief Minister Stalin has released a video asking you to vote for India's alliance to save the country and tomorrow's generation
#MKStalin #LokSabhaElection2024 #INDIAAlliance #DMK #MKStalinCampaign
https://t.co/37gjNZkXsf",Neutral,48.809999999999995
6,1780473618541191523,"RT @Gourav_1810: **  Tamilnadu General Elections 2024 ANALYSIS  &amp;  Prediction ***

DMK vote share in TN  ( 25% - 28% )
AIADMK vote share in…",2024-04-17 05:49:24+00:00,0,2,0,https://twitter.com/twitter/status/1780473618541191523,Gourav_1810,111,https://pbs.twimg.com/profile_images/1477130867742965762/Xf5JGjRA_normal.jpg,"Sydney, New South Wales","RT @Gourav_1810: **  Tamilnadu General Elections 2024 ANALYSIS  &amp;  Prediction ***

DMK vote share in TN  ( 25% - 28% )
AIADMK vote share in…",Neutral,94.08
7,1780464992355070108,"#ElectionsWithTheHindu | Claiming that the Centre’s share of funds to Tamil Nadu quadrupled after #PMModi came to power in 2014, BJP national president #JPNadda, at an election campaign in Tenkasi on Tuesday, April 16, 2024
https://t.co/OdEJJaI6FW",2024-04-17 05:15:08+00:00,1,0,536,https://twitter.com/twitter/status/1780464992355070108,THChennai,142514,https://pbs.twimg.com/profile_images/1024209320886452224/netWVzwS_normal.jpg,"Chennai, India","#ElectionsWithTheHindu | Claiming that the Centre’s share of funds to Tamil Nadu quadrupled after #PMModi came to power in 2014, BJP national president #JPNadda, at an election campaign in Tenkasi on Tuesday, April 16, 2024
https://t.co/OdEJJaI6FW",Neutral,76.14999999999999
8,1780432717013770712,"TASMAC Leave : நாடாளுமன்ற தேர்தலால் டாஸ்மாக் லீவ்! மது கடைகளில் நிரம்பி வழிந்த கூட்டம்..

#TASMAC | #LokSabhaElection2024 | #Zeetamilnews 

https://t.co/FLjU7i9FkQ",2024-04-17 03:06:53+00:00,0,0,142,https://twitter.com/twitter/status/1780432717013770712,ZeeTamilNews,91242,https://pbs.twimg.com/profile_images/1707709415997276160/6SnHzocY_normal.jpg,சென்னை,"TASMAC Leave: TASMAC leave due to parliamentary elections! Liquor shops are crowded.

#TASMAC | #LokSabhaElection2024 | #Zeetamilnews

https://t.co/FLjU7i9FkQ",Negative,76.75999999999999
9,1780389570808549603,@amarprasadreddy @gagsshri @annamalai_k In 2024 LS elections my desire is to see 10+ BJP MP’s from TN,2024-04-17 00:15:26+00:00,2,0,72,https://twitter.com/twitter/status/1780389570808549603,ramachandran_66,37,https://pbs.twimg.com/profile_images/1563456575297454080/Szajwbsp_normal.jpg,Chennai India,@amarprasadreddy @gagsshri @annamalai_k In 2024 LS elections my desire is to see 10+ BJP MP’s from TN,Positive,67.51
