,tweet_ids,tweets text,created_at,like_count,retweet_count,impression_count,toenglish,sentiment,percent
0,1781196836533137432,"RT @Surya_thalaiva2: ஜனநாயக கடமை முடிந்தது ☝️

#GreatestOfAllTime @Actorvijay https://t.co/dZl1iOhsei",2024-04-19 05:43:13+00:00,0,3,0,"RT @Surya_thalaiva2: Democratic duty done ☝️

#GreatestOfAllTime @Actorvijay https://t.co/dZl1iOhsei",Positive,88.9
1,1781196510593687589,"RT @TamilanKarthik_: Thank You @BTP_Offl Boyz For This Memorable Moments 😍❤❤
Love you all❤😍

@actorvijay 
@rajakumaari

 #Leo #GreatestOfAl…",2024-04-19 05:41:55+00:00,0,16,0,"RT @TamilanKarthik_: Thank You @BTP_Offl Boyz For This Memorable Moments 😍❤❤
Love you all❤😍

@actorvijay 
@rajakumaari

 #Leo #GreatestOfAl…",Positive,98.14
2,1781196495557136490,"RT @Surya_thalaiva2: ஜனநாயக கடமை முடிந்தது ☝️

#GreatestOfAllTime @Actorvijay https://t.co/dZl1iOhsei",2024-04-19 05:41:52+00:00,0,3,0,"RT @Surya_thalaiva2: Democratic duty done ☝️

#GreatestOfAllTime @Actorvijay https://t.co/dZl1iOhsei",Positive,88.9
3,1781196276744491071,"RT @Surya_thalaiva2: ஜனநாயக கடமை முடிந்தது ☝️

#GreatestOfAllTime @Actorvijay https://t.co/dZl1iOhsei",2024-04-19 05:41:00+00:00,0,3,0,"RT @Surya_thalaiva2: Democratic duty done ☝️

#GreatestOfAllTime @Actorvijay https://t.co/dZl1iOhsei",Positive,88.9
4,1781196075384418457,"ஜனநாயக கடமை முடிந்தது ☝️

#GreatestOfAllTime @Actorvijay https://t.co/dZl1iOhsei",2024-04-19 05:40:12+00:00,5,3,58,"Democratic duty done ☝️

#GreatestOfAllTime @Actorvijay https://t.co/dZl1iOhsei",Positive,86.79
5,1781195280488308833,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",2024-04-19 05:37:02+00:00,0,47,0,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",Positive,95.22
6,1781194139453014514,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",2024-04-19 05:32:30+00:00,0,47,0,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",Positive,95.22
7,1781193993583534106,"RT @VTMOffl: Wait for king Thalapathy @actorvijay entry 🥵🔥🔥

#GreatestOfAllTime  #GhilliReRelease 
https://t.co/8egc1T3Hfm",2024-04-19 05:31:55+00:00,0,48,0,"RT @VTMOffl: Wait for king Thalapathy @actorvijay entry 🥵🔥🔥

#GreatestOfAllTime  #GhilliReRelease 
https://t.co/8egc1T3Hfm",Positive,92.16
8,1781192680422453316,"RT @Surya_thalaiva2: நாளைய முதலமைச்சர் இன்று வாக்களிக்க போகிறார் 🔥

#GreatestOfAllTime @Actorvijay 
https://t.co/b82RMIDpag",2024-04-19 05:26:42+00:00,0,29,0,"RT @Surya_thalaiva2: Tomorrow's Chief Minister is going to vote today 🔥

#GreatestOfAllTime @Actorvijay
https://t.co/b82RMIDpag",Positive,90.74
9,1781191025333338384,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",2024-04-19 05:20:08+00:00,0,47,0,"RT @MovieTamil4: Braking News 📰 

- #ThalapathyVijay will reach Chennai tonight for casting his vote tomorrow. 🤗
- #GreatestOfAllTime shoot…",Positive,95.22
