,userid,name,username,followers,image,location
0,1221440064087101443,Kamal Editography,kskamal17,473,https://pbs.twimg.com/profile_images/1578389509959360516/HAvca1oj_normal.jpg,
1,2506402688,W O H B,f7c7a389b3fe46f,36,https://pbs.twimg.com/profile_images/1620940756025212930/m0Y9ZJFo_normal.jpg,"London, England"
2,1133410693967777792,தளபதி வெறியன் டா,Thalapathydaa8,2599,https://pbs.twimg.com/profile_images/1585901970941874176/Dx4JYcPe_normal.jpg,"Tamil Nadu, India"
3,1269990934017523713,SHADOWRAGU,shadowragu,86,https://pbs.twimg.com/profile_images/1570869891573649409/5AxahH7a_normal.jpg,
4,1568252700063838208,NAVEEN G,gn458706,32,https://pbs.twimg.com/profile_images/1568252838828195842/8qHlOJeA_normal.jpg,
5,1443960086062272512,Why So Serious,WhySoSerious369,9,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"Hyderabad, India"
6,1733550177842311168,Thanveer K,ThanveerK63182,0,https://pbs.twimg.com/profile_images/1733550269110378496/BFGEX2Xg_normal.png,
7,1547821208430792704,tharik,tharik73045757,63,https://pbs.twimg.com/profile_images/1754842269537251328/-s8crY7n_normal.jpg,"Bengaluru, India"
8,1384827830828036098,sabari _ sb_ thalapathy 🦁,MasterT94950775,956,https://pbs.twimg.com/profile_images/1739326241986195456/uUcPkQXU_normal.jpg,
9,1137403055127662594,LEO🦁,Anantharamanvj7,625,https://pbs.twimg.com/profile_images/1775391242693779456/KvztvlQU_normal.jpg,
10,751430685991112706,Raja yuvan𓃵,yuvanraja20,3439,https://pbs.twimg.com/profile_images/1772300061600325639/ebouMsu5_normal.jpg,Tamil Nadu Sirkazhi 
11,1752997441170022400,gopinath TVK 💥💥,gopinat01993508,188,https://pbs.twimg.com/profile_images/1753001004075974656/OWksyFPV_normal.jpg,
12,1706514326004334592,Hᴀʀɪ 𝐕𝐉²,HariVJ_26,1027,https://pbs.twimg.com/profile_images/1759298832071024640/k4FMrW-H_normal.jpg,𝐁𝐫𝐚𝐜𝐞 𝐘𝐨𝐮𝐫𝐬𝐞𝐥𝐟..!
13,1376942888412610564,தெருமி 🇯🇵🇮🇳,southindianlif1,310,https://pbs.twimg.com/profile_images/1780865757204910080/BgsQj5vk_normal.jpg,"ECR, Chennai or Japan"
14,1469353420704280577,Karthi,iamkarthi_kp,1254,https://pbs.twimg.com/profile_images/1753888426330378240/_G9P-Le9_normal.jpg,Tamilnadu
15,1774359044255608832,ʜᴀʀɪsʜ ᴊᴇʏᴀʀᴀᴊ²,HarishJeyaraj23,94,https://pbs.twimg.com/profile_images/1774361912215846912/yT5A-1uZ_normal.jpg,
16,1714497199890104320,விஜய் ரசிகை💥,Visalavathii,386,https://pbs.twimg.com/profile_images/1766877594916655104/7Caoz8IA_normal.jpg,
17,2892520633,sirangivee,sirangivee,197,https://pbs.twimg.com/profile_images/1620823151742681090/LRF8Z3t8_normal.jpg,
18,1395399205229776897,MUBARAK JAKIR,jakir_mubarak,81,https://pbs.twimg.com/profile_images/1397591481016225796/DGTcjoGS_normal.jpg,
19,1504293867352297473,Thala Kumar troll,Thala2789Kumar,1266,https://pbs.twimg.com/profile_images/1779311702468857856/S4IsQLER_normal.jpg,ஆரணி ஓதல வாடி திருவண்ணாமலை மாவ
20,1674774842896420864,Sakthivel Murugan,sakthivelm186,559,https://pbs.twimg.com/profile_images/1756151669329448960/mRqoSek4_normal.jpg,Chennai
21,155468406,R.K.PRADEEP,PRADEEPBABUrk,598,https://pbs.twimg.com/profile_images/1172564771524075521/hfD74G-f_normal.jpg,"Chennai, Tamil Nadu"
22,1739887239705075712,Madesh,Madesh2044892,15,https://pbs.twimg.com/profile_images/1739887415123386368/g8OFtW6a_normal.jpg,
23,1263073644005097473,Thalapathy Sathish,thalapathy1989S,95,https://pbs.twimg.com/profile_images/1709622791161720832/SEa4VOHL_normal.jpg,"Krishnagiri, India"
24,1683530836585623552,Vasanth💥😎,va10570,203,https://pbs.twimg.com/profile_images/1704478951350124544/xJkh235g_normal.jpg,
25,1441712054490963979,Sreehari R,Sreeharir647,85,https://pbs.twimg.com/profile_images/1583293285145391104/tdhzBtOg_normal.jpg,
26,1248581216216858630,水森だいち🇮🇳🤝🇯🇵印度紅茶,Indo39_Koucha,166,https://pbs.twimg.com/profile_images/1624230515615367169/jFDAUgtd_normal.jpg,デリー郊外の森🐅
27,1779361665349566464,Hari Krishnan,KrishnanHa71743,3,https://pbs.twimg.com/profile_images/1779361745515302912/ghr6tX-m_normal.png,
28,1645748901880954880,Aᴋᴀꜱʜ ,_akashhx,1945,https://pbs.twimg.com/profile_images/1780574837452496896/dVLIYKel_normal.jpg,
29,1480763608686604288,Mᴀsᴛᴇʀ ᴅɪɴᴇsʜ ツ,Master_Dinoo,4036,https://pbs.twimg.com/profile_images/1744812719679963136/Hx1eIYOV_normal.jpg,
30,1683119302499762176,S.Saarshit arshit,SaarshitS36266,1,https://pbs.twimg.com/profile_images/1683119583191003136/QeA7r93P_normal.png,
31,2874601664,KR,Rajakarthik22,830,https://pbs.twimg.com/profile_images/1700696498642853888/B2mxkXXH_normal.jpg,"Karaikal, Pondicherry"
32,1489119421842878465,Sukumar Nagarajan,SukumarNagaraj5,562,https://pbs.twimg.com/profile_images/1723965001055223808/48KEWzOP_normal.jpg,
33,1556032075,Gajan,m_gajan,93774,https://pbs.twimg.com/profile_images/1679936231373717513/hK38dgf-_normal.jpg,Jaffna
34,1525432588097056769,தளபதி விஜய் அண்ணா,Thalapa97088856,2071,https://pbs.twimg.com/profile_images/1729429092733440000/bwFsWn7c_normal.jpg,
35,1583049416025731073,Sudhanshu Dubey,Sudhans01852562,241,https://pbs.twimg.com/profile_images/1759592688880660480/KGTDYEtH_normal.jpg,
36,1071397882186600448,Dinesh,Dinesh23921009,216,https://pbs.twimg.com/profile_images/1580106699171827714/0NGzIYvq_normal.jpg,"Bengaluru South, India"
37,1010205279420469253,Rahul Randy,RahulRa90980031,580,https://pbs.twimg.com/profile_images/1466828435985080322/41cZT6RC_normal.jpg,"Bengaluru, India"
