,userid,name,username,followers,image,location
0,1178212911317053440,τнαℓαρατнy sυriyαᴳᴼᴬᵀ🐐🔥,Surya_thalaiva2,3459,https://pbs.twimg.com/profile_images/1670479202414632961/Amv5YxWT_normal.jpg,
1,1156338067,Vijay,actorvijay,5082247,https://pbs.twimg.com/profile_images/1644061982239387648/4pxcTG5J_normal.jpg,
2,1597812810401996800,KarthiK,TamilanKarthik_,626,https://pbs.twimg.com/profile_images/1775727384245006336/8MWGcpQo_normal.jpg,"Ahmadabad City, India"
3,720441216345583617,Bangalore Tamil Pasanga ™,BTP_Offl,60634,https://pbs.twimg.com/profile_images/1599770250266177537/Zu5NaHiy_normal.jpg,"Bengaluru, India"
4,297851969,Sonia Arunkumar,rajakumaari,145109,https://pbs.twimg.com/profile_images/1780901420746866688/R78mCmfI_normal.jpg,"Chennai, India"
5,1333297773928611840,Movie Tamil,MovieTamil4,33036,https://pbs.twimg.com/profile_images/1712594392161394688/9EBDdOuo_normal.jpg,Chennai 🇮🇳
6,1558371443145986048,𝗩𝗶𝗷𝗮𝘆 𝗧𝗵𝗲 𝗠𝗮𝘀𝘁𝗲𝗿ⱽᵀᴹ,VTMOffl,6499,https://pbs.twimg.com/profile_images/1642869766334607360/ameTZ4lU_normal.jpg,
7,468471298,Surya Kumar Yadav,surya_14kumar,3592584,https://pbs.twimg.com/profile_images/1582311159910215683/doSdYa8e_normal.jpg,
8,349023090,Harshal Patel,HarshalPatel23,35575,https://pbs.twimg.com/profile_images/1559465765778391041/cXobp5qP_normal.jpg,Ahmedabad
9,858720042938249216,Jasprit Bumrah,Jaspritbumrah93,5577029,https://pbs.twimg.com/profile_images/1559918458824863744/5tmDSZgG_normal.jpg,"Ahmedabad city ,India"
10,1646177741765574656,Tolly hub,tolly_hub,3544,https://pbs.twimg.com/profile_images/1756206150243270656/b0TBpaWu_normal.jpg,"Hyderabad, India"
11,2599840188,Versatile Star At Last Prime💫,StarVersatile,6282,https://pbs.twimg.com/profile_images/1741290799374184448/H4zV3HH__normal.jpg,"Chennai, India, Salem"
12,3140253344,Raja yuvan,thisisysr,3277854,https://pbs.twimg.com/profile_images/1598666036571578369/ysCJpGjv_normal.jpg,Planet earth
13,70664813,venkat prabhu,vp_offl,3862948,https://pbs.twimg.com/profile_images/1664587416689348609/tVaW_BeV_normal.jpg,"Chennai, India"
14,1768138800851558400,Manu Vijay,ManuVijay99,231,https://pbs.twimg.com/profile_images/1776600665529167872/G4RID8Bf_normal.jpg,Wayanad
15,1061895454617559041,RAO :-)🦅,RAO_Offl,5037,https://pbs.twimg.com/profile_images/1733420354901774336/Y7OOnCSQ_normal.jpg,
16,1257948693652574209,SriLanka Vijay Fans Club 🇱🇰,SriLankaVijayFc,9672,https://pbs.twimg.com/profile_images/1687677795793838080/RO2MNXxM_normal.jpg,Sri Lanka
17,713699711010480128,Ayngaran International,Ayngaran_offl,15172,https://pbs.twimg.com/profile_images/1522241867923918848/M5mO54Ol_normal.jpg,India
18,1738143116052647936,♪★ ፕᏒ𝐈ዐ Ꮇ𝚄ร𝙄𝘾 ᵂᴏዪʅɗ 🎸,triomusictn41,15,https://pbs.twimg.com/profile_images/1780586023334076416/skLygQcC_normal.jpg,
19,245687754,Press Trust of India,PTI_News,4244866,https://pbs.twimg.com/profile_images/1618421776794677248/EYJex5NK_normal.jpg,"New Delhi, India"
20,396707695,BJP Tamilnadu,BJP4TamilNadu,602283,https://pbs.twimg.com/profile_images/1643875973824380929/Bolmj0LY_normal.jpg,"Tamil Nadu, India"
21,1489097707838836736,தமிழக வெற்றி கழகம் 💙🤍,Surya_thalaiva_,3460,https://pbs.twimg.com/profile_images/1759492466674466816/5vtsNJNt_normal.jpg,
22,1681246566731087872,Isaac editz 2.0,isaac_editz_2,517,https://pbs.twimg.com/profile_images/1780228110174097408/pH-EjsO-_normal.jpg,
23,1467228402,IndiGo,IndiGo6E,507255,https://pbs.twimg.com/profile_images/1574362382431756290/tlQb5Z8i_normal.jpg,
