,userid,name,username,followers,image,location
0,231692806,Jagran English,JagranEnglish,15360,https://pbs.twimg.com/profile_images/1541884688372858881/wuGvrwKl_normal.jpg,"New Delhi, India"
1,20751449,The Hindu,the_hindu,8202305,https://pbs.twimg.com/profile_images/1061900452311121920/jo7qrMTA_normal.jpg,"Chennai, India"
2,42606652,AajTak,aajtak,22294966,https://pbs.twimg.com/profile_images/1395254075285860354/LG45JNi8_normal.jpg,India
3,613357772,The Hindu - Chennai,THChennai,142545,https://pbs.twimg.com/profile_images/1024209320886452224/netWVzwS_normal.jpg,"Chennai, India"
4,524503119,Fresh Founder Bhai- 360 Solution!,fresh_founder,759,https://pbs.twimg.com/profile_images/1481725802186436608/D-c2qA9q_normal.jpg,"New Delhi, India"
5,849487754,The News Insight (TNI),TNITweet,2851,https://pbs.twimg.com/profile_images/1546781665292214273/Q0V3NuUv_normal.jpg,New Delhi । Bhubaneswar
6,1627600669598416896,Shreshth Bharat,shreshtbharattv,153,https://pbs.twimg.com/profile_images/1757684445358727169/Y69Yxc6S_normal.jpg,Noida
7,68927629,Moneycontrol,moneycontrolcom,1442883,https://pbs.twimg.com/profile_images/841519699632447488/ea4043nJ_normal.jpg,Mumbai
8,942797970,Ch.Amjad Ali,saada186,792,https://pbs.twimg.com/profile_images/944956320800821248/CtaU-roa_normal.jpg,Islamabad
9,284920800,News18.com,news18dotcom,166548,https://pbs.twimg.com/profile_images/1559503521233264640/AYbgfEMf_normal.jpg,India
10,719406413416501248,Newstrack,newstrackmedia,6779,https://pbs.twimg.com/profile_images/1427595743024484356/2ZyqbDmF_normal.png,"Lucknow, India"
11,207809313,BJP,BJP4India,21816607,https://pbs.twimg.com/profile_images/1700102447061245952/OyNepKMe_normal.jpg,"6-A, Deen Dayal Upadhyay Marg,"
12,1100927498,DD News,DDNewslive,3728570,https://pbs.twimg.com/profile_images/1780230512629383168/2sNlQOTg_normal.jpg,DDNews
13,1551550576483512321,REAP Haridwar,REAPHaridwar,256,https://pbs.twimg.com/profile_images/1620831514379579394/SV2ckHX5_normal.jpg,"Vikas Bhawan, Haridwar, UK."
14,1434853408712781824,REAP Uttarakhand,REAPUttarakhand,884,https://pbs.twimg.com/profile_images/1559481509157179392/PD1lEg26_normal.jpg,Dehradun 
15,2318873012,Ganesh Joshi (Modi Ka Parivar),ganeshjoshibjp,32182,https://pbs.twimg.com/profile_images/1700136691778875392/H14KBCDg_normal.jpg,Dehradun
16,1152103432733515776,CM Office Uttarakhand,ukcmo,84692,https://pbs.twimg.com/profile_images/1532758309115088896/tMTDJHW7_normal.jpg,"Dehradun, India"
17,944168331279339523,"Ministry of Rural Development, Government of India",MoRD_GoI,348899,https://pbs.twimg.com/profile_images/1696120172246188034/RLtBKbbN_normal.jpg,"New Delhi, India"
18,36924745,International Fund for Agricultural Development,IFAD,204999,https://pbs.twimg.com/profile_images/1303724417692860423/NhMDEqkt_normal.jpg,Rome - Italy
19,1235765718001446912,SANJAY KUMAR SAXENA,SANJAYK47559742,338,https://pbs.twimg.com/profile_images/1731637537427611648/AxB1XAF7_normal.jpg,"Dehradun, India"
